N,P,K,Soil_pH,Soil_Moisture,Soil_Type,Organic_Carbon,Electrical_Conductivity,Temperature,Humidity,Rainfall,Sunlight_Hours,Wind_Speed,Region,Altitude,Season,Irrigation_Type,Fertilizer_Used,Soil_pH_Bin,Altitude_Bin,Recommended_Crop
29,49,78,4.87,51.57,1,0.44,0.36,36.41,83.83,645.32,8.56,9.88,3,1411,1,1,327.23,0,1,Millet
74,85,99,8.22,45.98,3,1.04,0.4,15.18,67.65,835.9,10.8,14.87,1,1137,0,0,81.31,1,1,Wheat
38,83,85,6.33,36.4,2,0.37,2.02,27.46,38.56,2126.31,6.11,1.25,3,1640,1,2,158.57,2,1,Rice
51,20,13,6.75,40.46,1,1.15,0.16,22.04,32.45,1253.06,7.13,15.59,2,40,1,2,345.47,2,0,Wheat
50,38,94,5.53,40.25,0,0.91,2.18,32.95,30.97,2378.49,10.75,18.45,1,2462,2,2,326.91,0,2,Rice
67,36,75,5.89,27.49,0,1.25,0.13,33.32,62.94,2266.3,4.82,9.28,1,2323,1,3,183.87,0,2,Rice
133,28,69,6.06,40.75,3,0.3,2.78,33.85,64.13,2149.15,6.95,18.87,1,2409,2,3,126.38,2,2,Rice
68,55,100,5.39,55.66,2,0.93,0.45,23.25,46.15,987.16,11.58,2.99,2,41,0,3,242.76,0,0,Millet
149,49,21,4.83,43.53,1,0.47,2.6,33.84,33.52,1666.9,9.34,10.62,4,44,2,1,218.52,0,0,Rice
151,26,14,8.21,40.87,0,1.06,0.62,10.75,60.56,2067.73,11.98,4.29,4,1976,1,1,140.76,1,2,Wheat
146,85,64,4.58,57.77,0,1.39,1.14,37.22,32.06,1114.87,4.11,3.86,3,1930,0,2,174.36,0,2,Sugarcane
103,38,39,7.16,50.89,3,0.49,2.53,27.72,47.61,2779.21,8.98,19.54,2,1937,0,3,233.71,1,2,Rice
106,63,94,6.56,11.02,0,1.17,0.71,22.59,58.42,2170.73,10.33,9.25,2,1066,0,1,133.27,2,1,Rice
89,87,87,6.59,16.3,0,0.91,1.05,26.8,55.29,1765.25,8.77,3.93,4,877,1,2,264.59,2,1,Rice
145,65,98,4.92,51.35,2,0.81,1.21,20.87,60.45,2695.09,4.98,18.54,1,924,1,0,120.91,0,1,Rice
146,49,67,8.33,48.95,2,0.3,2.04,19.24,85.58,238.51,7.57,2.0,1,197,2,0,336.07,1,0,Wheat
24,77,37,4.54,14.93,0,1.44,2.28,13.13,62.19,476.68,10.17,13.32,4,904,0,2,336.82,0,1,Cotton
128,85,62,8.01,55.74,0,1.0,0.86,27.3,76.29,1655.97,9.42,16.87,1,354,1,3,75.62,1,0,Rice
23,16,24,5.39,11.81,0,0.81,1.42,33.49,52.43,1194.27,11.23,19.78,2,500,2,2,89.36,0,0,Cotton
144,53,117,6.97,53.63,1,0.82,0.71,29.27,41.64,1409.52,6.47,11.93,4,1410,0,3,322.83,2,1,Sugarcane
65,32,79,5.18,47.75,3,1.02,0.31,26.44,81.09,2859.1,5.47,7.69,3,386,2,2,164.19,0,0,Rice
34,47,110,6.41,23.89,0,1.2,0.52,22.22,60.11,2418.74,10.34,2.91,1,1668,0,2,214.2,2,2,Rice
32,88,59,6.28,51.59,3,1.28,2.25,29.23,36.85,1120.8,11.48,18.67,2,1883,2,2,286.26,2,2,Cotton
32,62,50,4.82,56.87,2,1.44,2.8,37.88,43.51,1075.63,11.87,2.52,2,1582,0,1,190.84,0,1,Tomato
114,60,12,7.37,21.6,1,0.27,1.51,19.46,41.36,377.31,6.64,4.08,3,640,0,3,169.83,1,0,Wheat
127,26,32,7.1,38.03,2,0.66,1.31,14.58,59.1,1438.51,11.48,8.65,1,362,1,0,134.03,1,0,Wheat
82,21,94,7.3,20.03,1,0.76,0.55,10.1,65.55,855.21,9.18,11.6,0,2162,0,0,205.9,1,2,Wheat
31,68,112,6.01,12.81,2,1.48,2.99,11.52,37.54,2357.22,9.87,5.65,2,568,0,3,253.92,2,0,Wheat
156,20,87,6.95,50.71,1,1.02,0.42,25.15,65.68,2859.75,10.13,5.44,4,1231,2,0,199.71,2,1,Rice
53,89,65,7.91,49.78,0,1.06,1.41,18.31,54.35,2403.08,7.83,2.32,4,1584,0,1,255.53,1,1,Wheat
111,74,38,7.26,38.44,3,0.61,2.07,36.25,82.24,834.33,5.09,19.75,1,2248,2,0,83.39,1,2,Sugarcane
74,74,77,7.88,49.79,0,1.12,1.26,12.65,55.11,1743.75,5.76,4.34,2,714,1,1,168.02,1,0,Wheat
43,76,92,6.38,35.14,3,0.38,1.31,36.34,77.1,1840.76,8.0,18.31,2,2476,2,3,54.56,2,2,Rice
80,79,36,6.97,17.08,2,0.29,1.33,17.55,30.34,349.71,6.56,6.22,2,80,2,1,141.54,2,0,Wheat
69,58,44,4.7,31.44,2,0.95,2.57,19.44,66.92,2767.62,10.43,15.79,0,1433,2,0,216.78,0,1,Pulses
44,63,21,4.92,30.26,2,1.27,1.05,19.56,85.83,1095.84,6.71,14.21,4,1325,0,3,249.2,0,1,Wheat
42,64,35,7.25,28.12,0,0.59,0.58,31.74,54.02,2200.13,5.46,18.67,2,727,2,1,236.21,1,0,Rice
158,60,20,5.54,58.33,3,0.72,0.79,14.64,84.73,1533.98,10.45,16.65,4,1517,2,1,284.12,0,1,Sugarcane
132,25,107,6.14,37.26,0,0.36,2.08,31.69,74.93,2146.47,9.72,1.26,0,2457,2,0,95.56,2,2,Rice
142,44,61,4.99,50.71,1,0.66,1.14,24.85,56.97,295.49,8.09,17.87,2,1156,0,2,285.69,0,1,Barley
119,12,114,5.18,53.96,2,0.59,2.77,24.75,45.38,536.15,11.04,9.85,2,319,1,0,140.72,0,0,Cotton
138,57,55,7.12,48.81,3,0.25,1.41,18.88,85.59,1465.96,11.06,18.64,1,2375,2,2,168.91,1,2,Wheat
99,15,96,8.41,48.57,0,0.42,0.47,25.75,32.38,1955.08,11.87,19.5,3,942,2,2,97.69,1,1,Rice
118,87,109,8.44,17.39,1,0.44,0.45,20.72,75.8,2065.54,8.79,13.12,1,313,0,3,293.31,1,0,Rice
123,55,71,5.54,17.51,2,0.83,1.66,19.81,47.08,279.46,9.32,11.78,0,149,1,2,191.66,0,0,Cotton
37,35,58,6.92,46.19,3,1.39,1.02,32.78,75.99,1583.5,7.34,3.6,1,1884,2,2,305.81,2,2,Rice
36,40,98,4.72,21.58,3,1.43,1.64,13.76,76.68,530.74,11.83,16.32,0,264,1,2,243.63,0,0,Potato
36,79,89,8.27,10.91,3,0.62,2.46,11.47,83.29,907.03,10.47,3.86,2,1150,0,0,105.97,1,1,Wheat
36,56,110,5.89,28.47,2,0.33,2.73,12.78,86.13,926.01,11.12,2.34,4,921,0,0,111.67,0,1,Pulses
139,43,75,8.44,13.27,1,0.3,1.07,24.6,67.03,1758.37,6.79,14.28,2,948,1,2,210.16,1,1,Rice
103,88,21,8.1,12.85,2,0.28,1.35,35.99,66.11,1860.26,10.49,17.3,1,1679,0,1,332.3,1,2,Rice
75,87,111,7.9,50.07,2,1.02,2.06,23.54,78.64,761.78,4.84,13.26,4,551,2,2,301.7,1,0,Rice
123,31,18,8.46,21.66,3,0.66,1.17,16.12,84.51,2622.5,10.69,4.3,1,659,1,0,137.33,1,0,Wheat
104,83,116,7.73,37.85,2,0.55,1.66,17.74,35.89,1129.99,10.43,14.4,4,2315,0,0,94.82,1,2,Wheat
45,82,94,5.12,45.81,0,1.09,1.58,26.44,52.95,2248.08,10.24,2.46,1,323,2,3,196.43,0,0,Rice
147,63,58,4.65,24.04,0,0.61,2.19,27.55,35.69,828.97,5.85,12.07,2,1202,0,1,334.3,0,1,Barley
152,58,50,6.79,33.28,2,0.75,0.72,15.35,64.3,2013.54,8.04,19.67,3,1215,2,1,69.0,2,1,Wheat
116,62,23,8.44,25.65,0,1.02,1.07,20.08,34.74,1520.91,10.86,6.37,0,2121,0,2,186.33,1,2,Rice
75,83,75,5.22,20.58,0,0.63,0.31,22.92,38.45,2505.41,9.45,8.17,4,1403,0,0,348.55,0,1,Rice
98,77,94,6.06,53.73,3,0.99,2.05,34.84,59.92,2369.32,5.27,15.85,3,568,0,1,67.8,2,0,Rice
60,43,83,8.28,12.13,1,1.49,0.86,23.62,69.27,200.39,5.19,13.44,2,1747,0,1,305.44,1,2,Wheat
77,23,48,4.98,40.7,0,0.22,1.9,35.04,63.8,810.31,5.41,11.89,4,1591,2,0,213.03,0,1,Maize
61,53,37,7.71,11.52,0,0.59,1.37,37.77,45.71,2297.44,8.58,5.03,4,2305,2,0,328.66,1,2,Rice
91,61,48,6.38,31.72,1,0.91,2.07,13.14,76.38,377.12,5.83,16.33,1,1399,2,2,346.29,2,1,Wheat
94,73,100,7.33,47.2,1,0.69,2.45,25.83,79.93,895.53,4.04,4.45,0,43,2,2,128.42,1,0,Barley
134,54,57,7.22,54.26,3,0.68,1.51,17.11,61.52,2369.21,11.68,7.85,3,620,1,3,194.4,1,0,Wheat
97,42,88,6.45,20.53,1,0.93,2.93,31.75,50.69,931.33,7.19,1.47,1,1155,2,2,297.02,2,1,Cotton
82,43,54,6.34,35.04,3,0.85,2.56,39.93,30.94,217.26,11.34,16.73,4,609,0,2,171.61,2,0,Millet
50,31,108,6.28,24.92,0,0.3,1.75,34.6,89.42,2168.68,5.7,1.52,0,376,1,3,185.45,2,0,Rice
148,86,33,7.81,25.71,1,0.42,1.72,10.92,62.49,331.55,5.51,3.75,2,1584,2,2,107.12,1,1,Wheat
156,84,47,6.56,21.41,3,1.0,1.75,10.18,65.3,362.0,9.81,16.65,4,2332,2,0,269.88,2,2,Wheat
35,64,97,5.38,31.16,3,1.03,2.98,29.33,72.67,235.42,7.98,17.97,4,1706,1,1,293.54,0,2,Millet
70,74,26,7.16,46.23,0,0.33,1.4,31.48,67.14,1222.17,5.36,14.76,3,591,1,3,192.55,1,0,Barley
64,78,67,6.97,36.4,1,0.38,0.8,38.27,38.93,2084.11,4.18,7.91,4,1060,0,2,294.12,2,1,Rice
105,35,70,6.07,28.05,3,0.74,1.91,28.8,69.86,510.79,10.99,12.42,0,290,1,1,270.85,2,0,Millet
54,41,54,4.69,19.75,3,0.4,1.96,18.94,38.74,2766.92,6.74,3.05,0,1873,1,2,144.39,0,2,Wheat
23,83,53,6.17,45.93,1,1.37,2.32,15.19,58.07,686.25,6.37,8.25,0,1077,0,1,172.22,2,1,Wheat
72,22,35,6.19,48.11,1,1.43,1.92,39.78,54.77,854.72,8.18,9.17,1,1768,2,2,303.38,2,2,Rice
151,29,55,7.86,49.64,2,0.4,2.91,38.91,57.71,1093.19,7.85,8.4,1,1678,1,1,168.13,1,2,Sugarcane
140,82,82,8.29,30.42,0,0.36,0.13,11.89,69.28,2046.88,7.54,6.8,0,761,2,2,113.89,1,0,Wheat
109,83,43,4.67,49.59,2,1.48,0.24,10.27,73.17,1370.51,10.05,6.67,1,340,2,1,246.87,0,0,Sugarcane
31,17,62,5.09,46.16,1,1.31,2.07,15.0,52.16,896.98,11.29,8.66,1,1321,0,2,99.7,0,1,Millet
151,64,53,5.1,54.14,3,1.09,1.55,17.52,76.43,1321.41,6.07,2.53,0,1562,1,0,159.73,0,1,Sugarcane
84,43,64,8.21,31.98,0,1.42,0.18,13.17,37.76,833.02,4.07,16.02,3,902,0,3,245.47,1,1,Wheat
109,61,79,6.44,33.15,3,0.86,0.71,38.89,76.26,1648.99,4.09,18.73,4,1874,0,3,85.31,2,2,Rice
50,73,108,6.3,36.84,0,0.76,2.83,17.25,72.02,544.18,5.01,4.66,0,1305,2,2,139.45,2,1,Wheat
86,57,65,5.41,30.09,3,0.61,0.16,21.32,82.19,1696.79,6.76,9.47,0,1993,0,2,222.9,0,2,Rice
65,65,84,7.17,36.95,3,0.51,1.94,25.83,45.46,1888.1,11.55,2.1,3,1841,2,3,58.7,1,2,Rice
112,56,69,6.51,46.4,0,0.76,1.06,32.71,83.69,2788.09,7.97,16.59,2,547,0,0,183.68,2,0,Rice
145,58,101,5.09,20.28,0,1.02,2.61,26.66,47.4,2726.79,9.23,4.46,3,1793,0,2,111.57,0,2,Rice
101,14,26,5.45,41.77,0,1.33,1.03,24.34,79.32,1645.81,7.9,12.83,1,915,0,1,137.69,0,1,Rice
153,18,113,6.41,42.41,2,0.38,1.06,25.64,33.86,592.95,6.72,3.35,1,2311,0,1,111.4,2,2,Millet
27,58,68,5.77,50.36,0,0.23,2.63,20.91,67.16,1910.32,10.54,1.56,2,1731,1,2,113.66,0,2,Rice
51,82,21,6.74,46.79,2,0.2,1.73,10.28,83.54,1456.78,7.66,1.08,4,357,0,0,296.88,2,0,Wheat
91,38,27,7.25,28.7,3,0.75,2.17,38.82,45.95,2474.66,6.68,6.46,1,507,1,2,207.4,1,0,Rice
43,86,85,7.7,44.57,1,0.25,1.8,39.34,89.88,2881.17,10.43,13.93,0,314,0,0,126.51,1,0,Rice
111,70,19,6.12,32.09,3,0.49,2.6,21.0,80.29,2837.49,4.99,12.24,0,1239,1,2,117.4,2,1,Rice
20,67,36,7.18,30.41,2,0.61,0.5,18.14,76.96,523.86,7.06,4.96,2,1994,0,3,55.76,1,2,Wheat
113,71,44,8.36,40.69,0,0.25,0.6,10.11,68.37,1285.53,8.9,11.24,4,2063,1,2,320.0,1,2,Wheat
119,57,80,7.77,58.4,3,1.06,1.69,20.19,79.65,812.4,6.83,11.72,3,2270,2,3,220.61,1,2,Millet
157,63,24,6.63,44.36,2,1.4,1.59,33.34,78.13,1779.42,8.3,13.76,2,2495,1,3,269.98,2,2,Rice
144,51,25,7.11,41.61,2,1.32,1.62,31.79,54.24,2576.25,8.98,1.43,3,1572,0,2,207.55,1,1,Rice
34,40,70,8.35,46.14,2,0.74,1.25,19.89,34.9,2752.68,10.14,15.93,4,414,0,1,108.21,1,0,Wheat
83,77,91,5.16,32.69,2,1.23,1.65,28.57,54.48,2299.32,8.08,6.06,3,1757,1,1,66.01,0,2,Rice
145,43,59,4.5,51.52,3,0.64,0.75,38.31,86.18,2445.07,9.82,7.19,0,334,1,2,303.21,0,0,Rice
93,68,85,6.01,41.93,2,0.77,0.66,25.1,69.55,2004.22,10.9,3.31,4,2348,1,3,229.47,2,2,Rice
28,80,77,5.29,55.43,0,0.7,2.14,25.75,79.12,2262.47,8.49,19.9,4,558,2,3,112.09,0,0,Rice
48,37,106,7.29,59.83,0,0.76,1.47,27.1,72.63,443.86,10.44,3.62,4,2105,1,3,258.78,1,2,Millet
150,52,67,4.98,22.79,0,1.27,1.18,32.92,37.83,2281.4,10.65,17.63,2,1243,0,1,338.33,0,1,Rice
91,41,67,6.19,38.64,2,0.37,2.09,14.11,40.91,1861.29,10.0,5.96,3,661,0,3,62.85,2,0,Wheat
131,62,64,7.51,29.96,1,1.13,1.13,38.25,41.94,1516.17,8.7,10.78,4,701,0,3,215.41,1,0,Rice
74,67,20,5.35,28.83,1,0.77,2.12,27.68,54.6,799.41,8.58,2.62,1,1481,2,1,143.37,0,1,Millet
118,27,86,4.53,59.26,2,0.57,1.31,36.28,33.06,429.36,6.49,1.34,0,264,1,3,122.31,0,0,Millet
30,71,98,6.94,57.67,3,0.84,1.37,16.76,77.89,1435.3,10.75,4.53,4,180,0,0,211.43,2,0,Wheat
131,46,67,4.93,40.29,3,0.42,0.98,34.41,77.19,2816.26,5.32,2.06,2,2176,2,0,244.83,0,2,Rice
39,35,31,6.41,54.62,0,0.24,2.65,33.28,49.08,2456.46,7.96,15.4,3,2292,2,0,205.06,2,2,Rice
123,51,90,6.99,34.18,2,1.18,2.65,37.97,66.83,1736.34,9.64,3.08,3,321,1,2,322.23,2,0,Rice
58,85,48,6.07,18.8,2,0.93,0.42,27.31,32.87,2859.22,6.13,16.27,2,1760,1,0,122.91,2,2,Rice
116,12,52,7.21,20.45,2,1.36,2.83,31.98,65.24,1076.76,9.12,12.58,2,1855,2,3,63.43,1,2,Sugarcane
153,55,85,5.28,36.93,2,0.87,2.91,35.55,67.54,774.65,10.14,17.75,2,935,1,2,246.45,0,1,Millet
88,57,51,6.19,12.55,2,0.81,1.44,35.64,64.99,2266.09,7.01,11.04,2,777,2,2,229.52,2,0,Rice
32,34,69,5.39,45.07,3,0.75,2.38,39.64,53.42,674.78,5.45,12.36,3,222,2,0,60.56,0,0,Millet
152,71,112,6.39,54.94,1,1.16,0.38,33.95,83.3,1976.86,11.55,12.04,2,687,2,3,177.89,2,0,Rice
156,56,84,4.94,37.01,1,0.2,1.39,32.69,76.56,1907.57,4.5,15.32,4,905,2,3,235.41,0,1,Rice
92,58,118,5.81,25.5,1,1.05,1.36,14.94,75.38,2447.76,10.34,16.05,2,1568,1,3,164.48,0,1,Wheat
130,40,46,7.85,30.06,0,0.37,2.58,15.51,79.96,2283.7,6.18,11.33,0,1534,1,1,298.23,1,1,Wheat
47,34,24,7.29,45.0,3,0.23,0.27,11.26,50.18,988.9,10.44,14.07,0,2401,2,0,203.96,1,2,Wheat
34,25,82,4.63,46.34,1,0.68,2.11,19.57,76.58,1973.83,4.17,9.74,1,461,0,0,209.27,0,0,Pulses
101,55,45,7.03,34.46,3,0.25,1.41,23.44,56.36,2851.3,8.29,18.03,3,2028,0,2,127.17,1,2,Rice
37,42,37,6.48,12.69,3,1.34,0.96,18.35,62.88,1269.15,9.38,16.93,0,2473,1,2,88.35,2,2,Wheat
67,74,46,4.53,51.22,0,0.44,1.37,30.5,53.69,952.0,10.6,11.0,1,580,2,1,180.69,0,0,Tomato
113,48,32,6.5,49.67,1,1.14,1.12,12.19,83.79,1779.0,10.5,3.34,1,1325,2,3,208.05,2,1,Wheat
77,72,43,5.15,58.16,3,0.71,0.49,20.5,44.31,1365.18,10.27,3.06,2,606,2,0,164.71,0,0,Millet
64,74,34,4.88,58.76,2,0.31,1.5,26.32,77.0,2350.92,8.77,13.17,2,633,0,3,89.58,0,0,Rice
89,24,89,8.08,15.8,1,0.32,1.61,12.73,34.79,680.58,6.37,16.1,0,1984,2,1,211.24,1,2,Wheat
85,59,22,6.08,59.81,2,1.46,1.86,33.79,83.54,2496.85,4.36,7.29,1,609,1,2,204.72,2,0,Rice
95,79,88,5.26,27.14,0,0.51,2.91,28.13,83.46,845.43,7.31,16.82,1,788,0,1,125.58,0,0,Sugarcane
20,54,27,6.43,52.86,3,0.95,1.07,33.81,54.37,1816.69,8.66,8.75,0,1713,2,1,241.28,2,2,Rice
21,55,43,7.11,45.62,1,0.83,0.26,38.13,41.48,1479.87,8.92,5.77,4,263,0,2,233.17,1,0,Maize
57,74,42,7.79,48.75,3,1.35,2.48,12.49,65.57,1802.86,10.76,5.16,4,1381,0,2,85.0,1,1,Wheat
154,79,94,5.51,17.29,3,0.62,2.36,22.54,74.63,1241.72,6.53,10.77,3,2401,2,3,153.23,0,2,Sugarcane
66,76,24,5.79,13.35,2,0.53,1.48,28.56,45.28,2954.53,4.2,7.35,0,2291,0,0,152.13,0,2,Rice
29,80,33,6.77,31.76,0,1.24,0.63,13.01,41.24,1704.95,6.23,11.45,3,769,1,0,129.36,2,0,Wheat
40,58,21,6.76,23.55,3,0.6,0.5,36.46,76.05,2512.77,11.06,19.45,2,1995,0,1,119.75,2,2,Rice
135,11,28,8.09,22.11,3,0.29,1.31,17.13,36.83,2155.44,5.46,18.56,4,3,2,3,275.61,1,0,Wheat
154,66,21,5.01,55.97,3,1.04,0.13,13.82,69.04,1945.33,6.39,4.65,1,2354,0,0,183.78,0,2,Sugarcane
120,17,84,7.4,10.33,3,1.24,1.41,23.59,44.86,2481.03,6.83,16.47,3,109,0,1,304.13,1,0,Rice
20,12,33,6.85,38.36,0,0.43,0.82,32.7,47.95,1162.38,5.43,9.8,3,1430,1,2,64.11,2,1,Wheat
63,35,21,8.11,13.04,3,0.75,0.91,38.65,35.49,455.78,4.71,14.32,4,730,0,0,64.3,1,0,Millet
83,24,55,6.07,23.05,1,1.47,2.37,34.89,69.52,2531.84,10.04,7.15,2,479,1,3,110.81,2,0,Rice
42,21,90,6.96,53.28,2,0.32,0.75,18.02,68.19,2306.66,7.3,16.94,3,2321,0,3,94.17,2,2,Wheat
116,36,42,7.6,15.01,2,0.71,1.83,22.21,46.78,2102.2,8.72,14.71,3,1496,0,2,66.65,1,1,Rice
125,73,51,5.66,11.02,3,1.04,1.43,28.98,37.91,476.69,8.24,1.56,1,1765,1,2,198.44,0,2,Millet
138,52,110,6.32,54.85,2,0.32,0.28,20.35,41.92,402.36,4.97,8.95,0,1441,2,0,130.89,2,1,Cotton
152,30,16,5.94,52.77,1,0.92,0.55,24.91,41.72,1892.65,11.6,2.08,2,1000,0,0,119.32,0,1,Rice
31,41,63,8.31,18.48,0,0.57,0.2,21.86,40.04,1124.31,10.81,15.48,3,1426,0,1,53.9,1,1,Cotton
69,27,87,6.91,59.49,1,1.3,1.04,11.22,68.16,1120.16,4.4,16.29,4,1225,1,1,74.0,2,1,Wheat
139,64,18,5.7,50.6,0,0.33,2.05,19.61,58.34,1794.01,6.2,9.68,3,2152,0,3,84.94,0,2,Sugarcane
68,42,43,5.15,45.74,1,0.58,0.62,27.41,49.53,2755.72,10.96,14.15,4,261,2,2,252.44,0,0,Rice
96,50,104,5.02,27.33,2,1.31,0.68,23.22,71.59,1646.44,8.21,12.85,4,1389,2,0,221.69,0,1,Rice
111,77,70,4.58,47.38,0,0.77,1.08,27.25,77.75,2971.85,11.56,7.48,3,901,0,0,201.23,0,1,Rice
33,81,84,5.47,31.6,0,0.61,0.74,30.4,45.34,2436.5,6.46,13.16,1,976,1,0,194.17,0,1,Rice
141,18,27,8.16,51.04,3,0.66,1.51,29.71,89.45,2887.44,8.37,9.18,0,159,0,3,119.49,1,0,Rice
59,35,115,6.86,48.29,1,0.26,2.5,39.09,56.39,2359.07,6.48,2.05,3,1681,2,2,80.94,2,2,Rice
121,63,114,5.04,39.98,3,0.22,0.3,33.87,51.27,1253.67,11.7,5.36,2,223,2,1,166.77,0,0,Sugarcane
151,89,59,4.98,13.73,2,1.07,0.11,17.66,63.55,737.18,4.84,4.62,0,2042,2,2,165.18,0,2,Millet
52,67,113,7.39,29.71,3,1.14,0.81,28.81,52.14,534.58,5.07,18.54,4,827,1,3,170.7,1,0,Millet
104,65,103,4.59,27.16,3,0.37,1.4,31.16,58.78,650.28,9.27,4.64,1,585,1,2,260.02,0,0,Millet
32,45,111,5.51,30.75,3,0.24,1.33,29.26,43.17,2133.81,4.11,5.14,2,758,1,0,241.44,0,0,Rice
92,14,53,7.0,37.95,0,0.69,0.51,30.57,56.47,663.62,8.56,19.28,3,638,1,2,119.45,2,0,Millet
88,50,91,5.96,23.99,1,0.81,2.41,29.81,89.41,528.18,6.24,1.28,3,2099,0,0,53.51,0,2,Millet
142,62,42,8.18,48.0,1,0.94,1.74,16.47,72.01,788.54,5.05,19.07,1,1075,1,3,281.52,1,1,Wheat
59,88,81,7.19,18.53,3,0.91,1.24,16.48,38.87,2113.62,6.36,6.24,3,1671,1,0,327.79,1,2,Wheat
131,57,46,5.73,21.52,1,1.35,2.75,35.81,42.66,704.79,7.74,10.61,1,2158,1,2,304.31,0,2,Millet
47,50,11,5.39,20.67,2,0.26,2.9,32.54,61.56,2418.15,7.29,13.99,4,1578,0,1,192.11,0,1,Rice
117,46,116,5.14,31.57,0,0.81,1.5,11.4,78.7,432.8,4.18,15.95,2,1700,2,1,212.69,0,2,Tomato
48,34,90,6.39,55.74,0,1.2,1.38,24.07,67.51,2194.74,5.08,6.21,0,1888,1,0,208.18,2,2,Rice
94,85,118,7.81,11.76,0,1.41,1.07,34.48,31.95,1017.27,10.57,12.67,3,50,1,1,75.4,1,0,Barley
35,15,24,6.4,47.11,0,1.07,1.98,19.24,51.68,2220.02,7.91,8.0,2,1822,1,1,190.55,2,2,Wheat
22,38,71,6.14,18.07,1,0.76,1.86,31.49,67.98,2653.4,7.04,6.84,4,1893,1,2,293.89,2,2,Rice
103,42,44,5.94,55.31,1,0.35,1.73,28.03,47.42,1014.9,9.49,4.39,2,227,0,2,343.85,0,0,Sugarcane
150,24,110,8.3,47.31,0,0.98,2.86,28.77,39.22,1141.42,9.22,15.23,1,782,1,2,228.48,1,0,Sugarcane
20,50,91,6.64,52.61,3,0.94,0.59,20.4,44.61,305.49,10.49,10.4,4,319,0,1,232.52,2,0,Tomato
106,57,100,4.6,23.26,2,0.68,2.82,33.34,50.39,2763.23,6.18,10.63,4,681,1,3,62.13,0,0,Rice
62,52,110,7.14,33.98,1,1.02,2.43,32.95,60.09,2677.66,6.15,10.31,2,2439,1,1,84.65,1,2,Rice
69,56,88,5.06,12.53,3,1.43,2.48,18.21,77.42,541.84,4.3,3.07,4,285,0,1,285.23,0,0,Maize
148,72,24,5.78,27.42,1,1.31,1.96,38.83,86.41,2611.88,8.13,2.85,2,85,0,0,68.14,0,0,Rice
126,61,83,7.3,22.11,2,0.9,0.57,22.99,70.14,2070.99,8.54,19.29,0,481,0,1,291.9,1,0,Rice
58,76,81,4.54,21.2,0,0.74,2.26,31.98,77.26,1185.72,7.16,13.55,1,1835,1,3,297.28,0,2,Potato
111,47,95,6.33,30.43,2,0.99,2.43,26.94,84.8,1824.81,9.04,1.33,2,1612,1,3,217.3,2,1,Rice
107,80,20,6.53,56.77,1,1.39,0.51,28.23,55.33,1345.69,4.49,5.35,2,1131,0,3,54.29,2,1,Sugarcane
148,88,104,5.38,34.58,1,0.77,1.25,19.96,30.14,2071.25,9.7,9.42,2,1241,0,0,141.53,0,1,Sugarcane
115,48,104,5.92,52.83,3,1.38,2.23,15.63,47.58,2309.7,10.02,11.16,2,966,1,2,305.33,0,1,Sugarcane
125,89,50,5.04,36.55,0,1.01,1.08,19.79,71.73,1716.61,4.14,9.54,3,2451,2,1,306.69,0,2,Sugarcane
155,20,19,7.23,29.67,2,0.35,2.65,35.95,52.2,605.17,6.6,19.77,3,1480,0,1,138.21,1,1,Millet
40,45,97,7.19,33.63,1,0.73,2.68,32.35,52.4,1670.8,5.4,5.66,4,2222,0,1,177.55,1,2,Rice
120,21,15,6.73,32.19,2,0.52,1.87,32.11,55.43,1641.27,6.96,12.12,0,517,1,2,316.4,2,0,Rice
83,44,110,4.97,11.26,3,0.42,2.32,34.29,60.54,1253.22,10.77,14.82,0,353,1,3,333.23,0,0,Potato
45,77,13,6.37,16.92,0,0.6,0.8,19.88,44.62,2221.79,9.68,13.8,1,1226,2,1,342.35,2,1,Wheat
59,14,26,4.64,54.89,1,1.03,1.79,36.22,69.4,1744.87,7.36,4.8,0,1929,2,2,200.84,0,2,Rice
137,56,70,7.9,22.03,1,0.34,0.21,13.31,76.65,2915.39,8.81,17.26,4,305,1,2,52.83,1,0,Wheat
39,71,119,5.36,58.19,0,0.24,2.0,27.79,39.61,1514.98,6.25,3.44,1,1303,0,1,345.54,0,1,Rice
21,68,106,6.77,17.21,0,1.11,0.26,24.99,56.42,679.84,7.63,16.64,4,561,2,1,83.77,2,0,Wheat
145,80,86,5.44,37.74,2,0.78,0.25,12.71,52.02,2219.55,9.8,15.85,1,1520,1,3,171.45,0,1,Sugarcane
83,72,56,4.92,11.9,0,1.46,1.76,22.14,32.14,2953.6,10.18,13.21,3,1546,2,1,196.05,0,1,Rice
22,17,43,4.85,12.71,2,1.33,2.89,15.98,34.34,2284.62,5.29,19.86,1,2243,1,1,345.4,0,2,Potato
53,77,118,7.22,51.05,3,0.36,0.6,28.18,77.55,2772.75,4.48,6.8,3,244,1,3,238.87,1,0,Rice
85,74,19,6.79,47.15,0,0.34,1.51,32.26,42.18,2995.33,6.02,14.52,0,628,1,0,232.23,2,0,Rice
138,17,90,4.93,39.01,1,1.46,0.57,29.04,85.35,387.71,5.76,13.86,0,344,1,2,169.11,0,0,Millet
113,68,11,7.84,18.33,1,0.92,2.63,32.62,56.91,837.43,6.17,1.42,1,629,0,0,211.93,1,0,Maize
